,mean_control,mean_T,log2FC,p_value,adj_p,symbol
ZBTB7C,1.960231682,4.165983438,2.205751756,5.58E-05,0.000508645,ZBTB7C
LEF1,2.814410921,4.7348881,1.920477179,8.25E-07,2.91E-05,LEF1
CEBPB,3.213596399,4.949358033,1.735761634,1.07E-06,3.30E-05,CEBPB
TFAP2A,0.969880885,2.682752392,1.712871507,1.95E-06,4.85E-05,TFAP2A
RUNX2,3.866760333,5.363805527,1.497045194,4.56E-07,2.07E-05,RUNX2
HMGA1,3.714317302,5.040077055,1.325759753,7.12E-06,0.000117022,HMGA1
FOSL1,1.443856732,2.763130051,1.319273319,1.71E-05,0.000214033,FOSL1
TBX15,2.183770062,3.487186905,1.303416843,2.98E-05,0.000322604,TBX15
HIVEP3,4.780571618,6.072755687,1.29218407,4.86E-07,2.14E-05,HIVEP3
MLXIP,6.407570933,7.695677735,1.288106802,3.71E-08,7.52E-06,MLXIP
ARNTL2,2.412619898,3.64669797,1.234078072,8.10E-07,2.88E-05,ARNTL2
GATA6,1.557347175,2.774765017,1.217417842,6.07E-06,0.000105233,GATA6
EGR2,2.839211313,4.036407544,1.197196231,0.000697639,0.003499861,EGR2
STAT2,6.999307676,8.075058758,1.075751083,6.70E-08,8.89E-06,STAT2
TEAD4,3.402196348,4.39905345,0.996857102,5.06E-07,2.18E-05,TEAD4
ZBTB47,3.650641995,4.634860738,0.984218743,1.91E-05,0.000231142,ZBTB47
ZNF385A,3.769772833,4.746853688,0.977080854,1.97E-06,4.89E-05,ZNF385A
HOXD10,3.591495487,4.543873063,0.952377576,0.004139486,0.014487125,HOXD10
HOXD11,1.656371182,2.587955488,0.931584306,0.002614219,0.010038536,HOXD11
ETV6,5.980959104,6.899097709,0.918138605,1.44E-06,3.98E-05,ETV6
ONECUT2,0.406027391,1.269142698,0.863115307,0.001474742,0.006387002,ONECUT2
ETV1,3.399135594,4.255806033,0.856670439,0.005752318,0.018880313,ETV1
NFE2L3,4.14966719,5.004987477,0.855320287,0.004173062,0.014584934,NFE2L3
MYBL1,3.589344169,4.43885357,0.8495094,0.001199401,0.00541841,MYBL1
ELF4,5.0675773,5.894143355,0.826566055,1.94E-07,1.27E-05,ELF4
E2F7,2.14125036,2.958907501,0.817657141,0.000269052,0.001671752,E2F7
DNTTIP1,3.558834656,4.334592117,0.775757461,9.70E-07,3.17E-05,DNTTIP1
EHF,0.380321036,1.146297052,0.765976016,0.001177815,0.005340495,EHF
ARID5A,4.4711601,5.235922785,0.764762685,0.000424501,0.002382149,ARID5A
BACH1,6.229895993,6.986315887,0.756419894,4.32E-05,0.000421638,BACH1
GZF1,3.893338924,4.643108118,0.749769195,1.76E-05,0.000218628,GZF1
HIF1A,7.269299421,7.982148075,0.712848655,3.19E-05,0.000337006,HIF1A
SIX5,3.100943815,3.811024776,0.710080962,0.00027869,0.001716725,SIX5
GLI3,4.434989045,5.137282277,0.702293232,0.000444815,0.002469323,GLI3
PROX1,1.782178912,2.479875782,0.69769687,0.003924115,0.013842332,PROX1
FOXP4,4.21818283,4.91421495,0.69603212,0.007605424,0.023608424,FOXP4
ZNF598,3.743158545,4.422797204,0.679638659,0.0001279,0.000954091,ZNF598
PBX3,3.640295387,4.304567883,0.664272495,0.002966192,0.011083439,PBX3
ZNF746,4.562414339,5.219504225,0.657089886,6.05E-05,0.000540889,ZNF746
ZNF217,6.786558826,7.42923032,0.642671494,5.27E-06,9.52E-05,ZNF217
TFE3,5.66027248,6.273790623,0.613518142,9.00E-05,0.000728917,TFE3
STAT5A,4.846836947,5.457777798,0.610940851,4.46E-05,0.000432523,STAT5A
ZFPM1,2.050598373,2.657459,0.606860626,0.000150852,0.001077875,ZFPM1
CEBPD,5.205098923,5.801706995,0.596608072,0.015925791,0.04291108,CEBPD
ZFP14,4.717666577,4.091076148,-0.626590429,3.60E-05,0.000370392,ZFP14
NFATC3,6.533416595,5.854826605,-0.67858999,1.38E-05,0.000182318,NFATC3
EPAS1,10.07202023,9.34726725,-0.724752985,0.007977304,0.024482747,EPAS1
NFYC,6.006500973,5.277152542,-0.729348431,2.99E-06,6.47E-05,NFYC
ZNF429,4.227844185,3.490261452,-0.737582733,7.75E-05,0.000652655,ZNF429
ZBTB20,9.02104474,8.251427597,-0.769617143,0.000605268,0.003136298,ZBTB20
TFDP2,6.198939551,5.42799028,-0.770949271,0.000103999,0.000812972,TFDP2
MAF,8.496044457,7.646012771,-0.850031685,3.53E-05,0.00036421,MAF
ZBTB44,7.327663371,6.456004923,-0.871658448,3.91E-05,0.000391272,ZBTB44
ZNF24,6.908955603,6.023757434,-0.885198169,1.55E-05,0.000199344,ZNF24
HIF3A,3.062825177,2.134157856,-0.928667321,0.017219993,0.045755137,HIF3A
ZNF844,4.656037697,3.674503134,-0.981534562,5.44E-05,0.000499423,ZNF844
NFIB,8.819863202,7.832033016,-0.987830185,1.28E-06,3.69E-05,NFIB
SOX9,5.669199824,4.66263641,-1.006563413,0.003128411,0.011532024,SOX9
HSF4,7.091523496,6.084104346,-1.00741915,0.000686732,0.003453572,HSF4
RORA,7.714696379,6.683938163,-1.030758217,3.24E-07,1.66E-05,RORA
PPARA,6.815543858,5.750689843,-1.064854015,5.26E-07,2.23E-05,PPARA
EMX1,3.609113655,2.515288866,-1.09382479,0.001882078,0.00775388,EMX1
PBX1,7.124770763,5.91067351,-1.214097252,0.001132075,0.005177865,PBX1
ZNF433,3.016559991,1.764858334,-1.251701657,2.64E-06,6.01E-05,ZNF433
TFEC,6.514479968,5.258478718,-1.256001251,2.01E-05,0.000239737,TFEC
HNF4G,5.387089969,4.097233806,-1.289856163,0.000286436,0.001751677,HNF4G
SOX6,6.242849948,4.889070203,-1.353779746,0.00017412,0.00120078,SOX6
ZNF189,6.319506036,4.94865784,-1.370848196,5.87E-06,0.000103073,ZNF189
NFIA,8.312120407,6.940997963,-1.371122444,1.75E-07,1.20E-05,NFIA
GLIS1,4.6791304,3.307625413,-1.371504987,1.86E-05,0.000227893,GLIS1
HNF1B,7.844890905,6.42808529,-1.416805615,8.99E-07,3.05E-05,HNF1B
RORC,6.126707907,4.684006198,-1.44270171,1.07E-05,0.000151444,RORC
ZNF704,7.80440551,6.272164514,-1.532240996,1.36E-07,1.07E-05,ZNF704
HNF4A,6.621788932,5.079223639,-1.542565293,0.003250991,0.011896631,HNF4A
MLXIPL,4.999030698,3.445113477,-1.553917221,0.002896666,0.010873898,MLXIPL
AR,6.407713516,4.730935956,-1.67677756,7.33E-06,0.000119408,AR
KLF15,3.341134907,1.600577289,-1.740557618,0.000122695,0.000923786,KLF15
ESRRG,4.200522422,2.442064543,-1.758457879,0.000554192,0.002936155,ESRRG
PAX2,7.047186215,5.285828763,-1.761357452,3.20E-05,0.000337017,PAX2
HNF1A,5.396807495,3.438554563,-1.958252932,2.98E-07,1.58E-05,HNF1A
HLF,5.741575603,3.628940903,-2.1126347,1.83E-07,1.24E-05,HLF
ZNF711,4.797310768,2.388449141,-2.408861627,1.41E-07,1.10E-05,ZNF711
EMX2,5.447542179,2.854829826,-2.592712353,4.94E-07,2.14E-05,EMX2
